,Movie,Screen,Sales,Audience,장르,Rate,month,year,개봉일,감독,배우
125,보안관,"1,091","20,697,532,509","2,571,491",범죄,15세이상관람가,5,2017,2017-05-03,김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남,염진환,박윤호,박지훈,신지훈,이규섭,이동현,최형욱,이윤희,이정은,손여은,현봉식,손석배,배명진,강덕중,김재영,이운산,박윤호,양지수,김언수"
126,기술자들,641,"19,894,297,783","2,564,340",범죄,15세이상관람가,12,2014,2014-12-24,김홍선,"김우빈,김영철,고창석,이현우,조윤희,임주환,조달환,권지훈,김원진,노선식,박갑진,유원선,윤대원,윤주환,이상민,이수민,채성원,천준호,최현우,최춘범,한지은,지승현,장지건,허준석,허지원,이장유,김사희,최다니엘,최정현,정성일"
128,목격자,"1,021","21,732,042,597","2,524,086",스릴러,15세이상관람가,8,2018,2018-08-15,조규장,"이성민,김상호,진경,곽시양,이동희,김재철,이재남,이재우,이태호,이혜민,정유민,정택호,조아라,황인범,김자영,김수영,김상호,박지후,우상기,황영희,정재광,박성근,이민웅,최정인,이장유"
129,증인,"1,047","20,312,348,931","2,516,128",드라마,12세이상관람가,2,2019,2019-02-13,이한,"정우성,김향기,이규형,염혜란,장영남,정원중,김종수,박근형,송윤아,이준혁,이레,김승욱,오재세,이채은,이서준,이서환,강민지,강지현,박세정,권혁준,김경훈,박재환,박주은,박준호,박찬영,송우용,김미진,안성봉,신치영,신혜정,김범석,오창경,김소연,김수경,이준형,장효석,김정연,김호연,조성재,김홍식,최은영,최종률,이슬이,정도원,정명훈,조한나,이승헌,강은수,고민지,곽나현,권정은,김규인,김난영,표예리,김바비,이동훈,김학선,이영아,김승윤,이민정,조복휘,김인규,김준원,정승욱,도현,김형묵,정영록,남혜진,김태현,정우성,문승배,정경현,이은샘,채치웅,윤정환,박미정,이종익,최문익,심은정,이석환,박윤근,박은우,엄주원,박창화,엄혜란,배내희,손제형,추귀정,염지영,장부익,장선아,서광재,한윤지,한재경"
130,조작된 도시,"1,019","20,119,979,587","2,512,572",범죄,15세이상관람가,2,2017,2017-02-09,박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철,손강국,한지은,박지후,오재세,김슬기,박경혜,권태원,이성우,하성광,승의열,임용순,임지수,이도국,엄지만,서이안,배민정,김회진,한대훈"
131,블랙머니,"1,117","20,747,796,510","2,465,678",범죄,12세이상관람가,11,2019,2019-11-13,정지영,"조진웅,이하늬,이경영,강신일,최덕문,조한철,허성태,강도연,정인기,윤진영,박영빈,최정현,엄지만,천재홍"
132,조선명탐정: 흡혈괴마의 비밀,"1,249","19,690,818,764","2,424,330",사극,12세이상관람가,2,2018,2018-02-08,김석윤,"김명민,오달수,김지원,김범,이민기,지웅배,이대현,이소희,이재웅,백승진,이정민,김정화,서지은,김탁호,김태윤,김태희,김현주,류현상,민성주,박동석,전건익,전현우,박지선,김태호,박지현,김건,최유진,김미란,김상일,김영우,김영진,한성희,염동헌,송훈,강덕중,조한준,윤상훈"
133,재심,935,"19,263,100,637","2,420,729",드라마,15세이상관람가,2,2017,2017-02-15,김태윤,"정우,강하늘,김해숙,이동휘,한재영,이경영,박희정,우상기,조해진,유지현,이다은,이동희,이동준,이승훈,한하늘,이정수,이정은,이종재,김진욱,김소진,김하나,최정헌,전소현,우상기,민진웅,김영재,하성광,곽자형,백익남"
134,히트맨,"1,122","20,614,278,000","2,406,232",코미디,15세이상관람가,1,2020,2020-01-22,최원섭,"권상우,정준호,황우슬혜,이이경,이지원,허성태,조운,허동원,이준혁,이중옥,안성봉,주서은,권유준,이상이,오자훈,배민준,박경근,손성찬,문정대,이건구,하경민,김사란,신수오,조셉,손태양,채인우,김건,서성균,박가은,안보라,권반석,황태희,김원영,변동욱,강현우,정수용,심상윤,이윤규,신희정,윤동주,심홍섭,배재성,이재남,장필상,박지해,나승준,손지민,이한종,아우 티투 솔루키,문정수,김원중,김흥태,김관영,김대근,우광제,이왕수,남승화,이창섭,이금용,임효우,박현선,주창욱,문형돈,원우,최재현,올렉 오스트로스키,디미트리 키에르베,서정훈,신기원,박예찬,임효진,설윤지,강영준,옥주리,김풍,황병국,김미희,한철우,이상원,김길동,배진웅"
135,사바하,"1,174","20,002,183,194","2,397,792",미스터리,15세이상관람가,2,2019,2019-02-20,장재현,"이정재,박정민,이재인,유지태,정진영,진선규,이다윗,배해선,차래형,황정민,김근영,윤경호,지승현,이항나,정동환,문창길,오윤홍,문숙,강나영,김두은,김유린,김지후,조수지,신보경,정병두,이재순,배선엽,곽영신,유승희,장지민,정혜은,강우진,윤창희,김근우,이치민,하승협,권해성,손병우,박상협,김찬빈,한유한,이월진,박재만,박영래,이광석,한형주,류현주,손연서,유선이,강민재,남도현,강성철,강지현,류경인,권귀빈,박수미,권오준,민설애,김가은,김근영,김금순,박종범,설시연,박지윤,박지윤,박지환,박진영,박훈,김명희,백승철,신유진,안성진,안현빈,김범수,오누리,노유림,옥영진,옥주리,김소숙,강민지,임현주,이상우,정재은,임효진,김현정,이주실,허다정,이준구,정한호,장영애,권태호,김홍파,김정훈,조한준,이문석,이수정,김승현,황인준,정미경,조한아름,조한준,이건창,김지수,진선규,정서인,차순배,권해성,이대현,김진옥,표성수,표예리,한다경,이한울,이한울,김태윤,이은주,김유나,이재진,장희욱"
136,바람 바람 바람,985,"9,702,206,675","1,183,959",코미디,청소년관람불가,4,2018,2018-04-05,이병헌,"이성민,신하균,송지효,이엘,장영남,고준,서성원,이주한,이지원,이혜수,김태강,유아름,유현종,정석원,김욱,김건,김기훈,강민지,김도연,김명준,황미영,김승원,김영현,김성우,강희수,양현민,허준석,전광진,김그림,엄지만,윤설"
137,박열,"1,176","18,093,543,795","2,359,174",드라마,12세이상관람가,6,2017,2017-06-28,이준익,"이제훈,최희서,김인우,권율,민진웅,이형석,박진성,배정환,서동기,정무진,정승채,조박,윤재국,이경수,이동욱,이병훈,이성규,이승환,이신우,이영상,이재성,이정현,이종민,홍준석,달시 파켓,김준한,최정헌,백수장,이정현,정준원,류성현,박기륭,김성철,정태야,김희상"
138,리얼,970,"3,357,312,530","470,105",액션,청소년관람불가,6,2017,2017-06-28,이사랑,"김수현,성동일,이성민,최진리,조우진,이경영,김홍파,정인겸,최권,한지은,문광무,박서준,장현도,전누리,최안나,이경민,이상훈,이선민,이선민,이성민,이세원,이수연,이정현,이태형,황수진,이형주,임지혜,고규필,황성준,배수지,안소희,현봉식,이정현,남경,윤경호,장태영"
139,악의 연대기,776,"17,360,123,332","2,192,243",스릴러,15세이상관람가,5,2015,2015-05-14,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,정원중,지대한,장준녕(장남부),정준원,한성천,배진웅,송훈"
140,친구 2,968,"21,804,687,513","2,971,475",액션,청소년관람불가,11,2013,2013-11-14,곽경택,"유오성,주진모,김우빈,김미진,최종석,한기준,문혜지,황순영,신승찬,양혜경,이재덕,정종호,정현수,이준혁,장영남,이철민,이동훈,기주봉,정호빈,한재영,지승현,황성준,조민준,장지건,고우림,주석태,최정현,유정호,이언수"
141,신의 한 수: 귀수편,"1,246","18,390,955,050","2,146,764",범죄,15세이상관람가,11,2019,2019-11-07,리건,"권상우,김희원,김성균,허성태,우도환,원현준,홍기준,박상훈,이서환,선율우,김상호,이홍내,박영빈,정인겸,조운"
142,나의 사랑 나의 신부,629,"16,592,056,305","2,135,614",멜로/로맨스,15세이상관람가,10,2014,2014-10-08,임찬상,"조정석,신민아,윤정희,이상희,전예원,조아라,김광수,김보미,김선하,김은비,박주운,신영일,배성우,라미란,윤문식,황정민,서강준,김형욱,김근영,고규필,강신철,박지연,이장유,조현식,손병욱"
144,굿바이 싱글,841,"16,912,706,195","2,108,273",코미디,15세이상관람가,6,2016,2016-06-29,김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리,이선빈,배유람,정원중,강찬희,송철호,임영우"
145,몽타주,540,"15,000,722,500","2,095,375",스릴러,15세이상관람가,5,2013,2013-05-16,정근섭,"엄정화,김상경,송영창,조희봉,정해균,유승목,이정환,조한기,고해성,허정은,홍종성,김윤태,이준혁,오대환,기주봉,백지원,정종열,정희태"
146,명당,"1,117","17,900,775,524","2,087,474",사극,12세이상관람가,9,2018,2018-09-19,박희곤,"조승우,지성,김성균,백윤식,문채원,유재명,박충선,이원근,김민재,강태오,이가희,이규섭,이동희,이세희,이수아,이성훈,이승철,이유리,이정민,이정빈,이정현,김준영,이주연,이창석,김진혁,안성봉,김하림,박기태,임지은,정재용,정재헌,박지현,정한길,정혜경,조성환,최선호,김규선,김도연,김동규,김동현,김민재,최우석,홍은진,홍준호,김선문,김서현,김서연,김기태,허성태,전신환,손성찬,홍완표,정종열,심희섭,이육헌,이종윤,백인권,배진호,조현식"
147,타짜-신의 손,890,"32,267,244,827","4,001,813",드라마,청소년관람불가,9,2014,2014-09-03,강형철,"최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세,박효주,백승찬,양성우,우민호,윤지환,이승원,이승훈,이영민,이원호,정동근,조연우,한준우,홍승철,황현서,김원영,김장미,문도선,이준혁,김새벽,배유람,안재홍,이동휘,김원해,최종률,고준,조경현,박수영,이성욱,송재룡,천우희,배진웅,윤경호,정다원,하성광,곽자형,곽수정,김민상,양도현,김종태"
148,뷰티 인사이드,648,"16,152,717,131","2,053,947",판타지,12세이상관람가,8,2015,2015-08-20,백,"한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,최용민,이미도,신동미,김시은,유재상,오상철,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,이진성,공민정,고규필,이봄,손슬기,박근록,이지민,우상기,박민수,권기하,장의수,손성찬,윤기창"
150,봉이 김선달,942,"16,172,133,642","2,044,564",사극,12세이상관람가,7,2016,2016-07-06,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희,이규형,송재룡,권태원,김승훈,김경룡,최정현,조현식,김정화"
151,천문: 하늘에 묻는다,"1,198","16,502,543,020","2,000,490",사극,12세이상관람가,12,2019,2019-12-26,허진호,"최민식,한석규,신구,김홍파,허준호,김태우,김원해,임원희,오광록,박성훈,전여빈,김승훈,박기륭,김병남,안문주"
152,남자가 사랑할 때,531,"14,510,222,300","1,979,311",멜로/로맨스,15세이상관람가,1,2014,2014-01-22,한동욱,"황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아,정희태,곽진석,김서원,박혁민,손병욱"
154,협상,919,"17,032,133,166","1,967,721",범죄,15세이상관람가,9,2018,2018-09-19,이종석,"현빈,손예진,김상호,장영남,장광,조영진,이문식,이현,이동희,김준영,김지성,이주영,이지훈,이주환,안성봉,김희진,유관형,박수영,장민정,박영수,박지훈,정재호,정지상,정휘욱,김보민,김선희,김송이,김유진,이학주,차래형,박형수,이시아,최병모,박성근,어성욱,김보민,곽자형,김그림,윤성우,정인겸,김민상,여민구,배서하"
155,#살아있다,"1,882","15,965,582,900","1,903,727",드라마,15세이상관람가,6,2020,2020-06-24,조일형,"유아인,박신혜,전배수"
156,내안의 그놈,"1,041","16,293,580,567","1,901,684",판타지,15세이상관람가,1,2019,2019-01-09,강효진,"오윤수,박성웅,진영,라미란,이수민,이준혁,김광규,민지아,윤경호,김현목,권혁범,이호수,김상겸,조성희,박경혜,장진희,박지훈,정윤하,정원창,박신아,윤부진,류현,민지민,박용균,김건,김경록,서동석,서승원,김근형,서진원,서진원,박주현,박준성,김남규,박지아,박지연,김대원,김대한,박진수,박진아,김도현,배경민,백기원,백수현,신유진,신재민,신진호,안효진,유영채,오세은,윤단비,남태우,오지영,윤송아,이정민,강민재,김은화,임효우,임효우,이상진,이상철,고경호,정지연,김현진,임지형,정택호,허유리,김재원,정혜원,권혁석,최우석,홍수현,조경섭,전두식,김재명,김홍파,이소라,이소현,김희선,조영지,김승필,황인준,황진호,조준형,강동길,조현영,이건구,강승호,이경진,이경호,김준형,이광호,지찬,곽지유,김영,권민서,권혁범,김가애,이동민,이동영,김영주,김명아,김명인,김범진,김부선,최경민,김예인,김석주,김태진,김태준,조경현,김우래,이우성,김재만,이범찬,김지예,김진걸,조시현,김현기,김찬오,이보라,김용훈,주우진,문강혁,남진복,유승운,진석진,진수선,이은영,김태성,정윤정,정윤철,안스완,이자은,신유선,최대열,박선근,신형근,박성주,최병국,이창식,이미노,이풍운,이하미,박영웅,안애린,이시율,최우주,이연하,손기성,배수진,배윤민,임승준,백민,임종화,염동철,전애진,염채은,예정민,손주형,추석영,전혜영,설지윤,송영우,하은유,하혜주,손광업,임동민,박소영,한선구,황순원,한지웅,한창현,서다해,함정인,허나경,허윤진,현익창,김용호"
157,오늘의 연애,709,"14,924,654,487","1,891,993",멜로/로맨스,15세이상관람가,1,2015,2015-01-14,박진표,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미,류화영,박지연,김소연"
158,상류사회,867,"6,313,416,163","768,442",드라마,청소년관람불가,8,2018,2018-08-29,변혁,"신현숙,박해일,수애,윤제문,라미란,이진욱,김규선,한주영,김강우,이강진,이수민,이수일,이수정,김정현,백승환,이정철,김준희,이현승,김지현,김근영,김진성,김진호,김태희,김현미,양정인,김형석,여상은,윤정희,문형수,임용순,박성훈,박아영,장혁진,정승준,박주희,정자영,박지원,정현석,조준희,김경민,김근영,김다솜,김다정,김대근,김동욱,김디나,최정윤,한지은,한희정,한희정,황지현,김미희,김선희,김시원,김성준,김건우,강기영,주예지,김승훈,이홍내,남기애,백현진,한이진,김성준"
159,불한당: 나쁜 놈들의 세상,860,"7,654,331,125","951,797",범죄,청소년관람불가,5,2017,2017-05-17,변성현,"설경구,임시완,김희원,전혜진,이경영,김성오,허준호,박정주,박지호,박형우,임효은,정기욱,주현수,윤준희,최형욱,이미소,이시훈,이영호,이은비,이인규,이정우,이정호,김말구,문지윤,박수영,양현민,최준영,김보미,최병모,홍인,최현종,남기애,임용순,안성봉,곽진석"
160,노무현입니다,775,"14,554,935,612","1,854,867",다큐멘터리,12세이상관람가,5,2017,2017-05-25,이창재,"노무현,이상호"
161,집으로 가는 길,740,"13,048,519,745","1,854,625",드라마,15세이상관람가,12,2013,2013-12-11,방은진,"전도연,고수,류태호,조승연,최민철,조수정,박윤희,박인영,이태범,강명찬,이후빈,최성택,최원기,허준석,이언정,이정은,김미경,김진상,김현민,배성우,이동휘,장광,김해곤,박형수,이민웅,오연아,신유람,박지일"
162,뺑반,"1,285","15,222,811,848","1,826,714",범죄,15세이상관람가,1,2019,2019-01-30,한준희,"공효진,류준열,조정석,염정아,전혜진,손석구,김기범,이학주,정수지,배유람,이성욱,류경수,김고은,차래형,박형수,박예영,나철,이해운,임선우,한명수,김태겸,양한슬,하성민,공찬호,강태영,한이진,정수교,고은민,전광진,승형배,황준호,한유열,박재광,오태근,이일현,황규인,오혜금,임정인,최윤민,노도현,선학,양지일,최세용,장현동,천샘,서성금,박성하,박경현,유민상,송준근,정해철,홍현호,김회경,박경근,공성하,권혁,권혁준,박윤희,박윤희,박주한,박준희,김대근,김대한,박현,송요셉,배우진,신재영,신주환,안대웅,안성봉,안현빈,안혜성,유연수,이종재,최성환,김재원,장준현,이성교,이성민,이세진,이소진,김흥태,황보정일,조유진,전호용,황윤성,이창선,정규연,이순자,김주영,이가경,김양수,김여진,조홍우,김지수,임준혁,김영,이남경,이대광,이도국,김진옥,김영준,김한석,하민,이명자,김지환,김태현,정용주,정원형,김윤배,한대훈"
163,변신,975,"15,417,922,925","1,804,112",공포(호러),15세이상관람가,8,2019,2019-08-21,김홍선,"배성우,성동일,장영남,김혜준,조이현,김강훈,정윤하,남승화,고해정,김귀선,손종학,신민경,안소미,김민식,안영주,오대환,손정원,윤서연,김세희,고태영,이샘,장현석,조지현,윤혜영,이규복,지대한,권잎새,권지환,김이경,한성관,이한별,김태린,남예진,윤기창,이장원,윤화랑,박서연,이음,전미도,손인용,서인권,백성철,백윤식,화성"
164,강철비2: 정상회담,"2,138","14,656,434,610","1,790,972",드라마,15세이상관람가,7,2020,2020-07-29,양우석,"정우성,유연석,곽도원,앵거스 맥페이든,신정근,류수영,염정아,김용림,김명곤,장광,이재용,안내상,손종학,하쿠류,크리스틴 달튼,스콧 로웰,서동갑,김승태,정진각,유성주,김중희,김중기,신수연,심희섭,손승범,전운종,김호준,김중기,최원,서지원,조유신,김재일,이승찬,권혁성,이태형,최민철,박성현,최재훈,박윤석,이수련,고윤,이남희,전영미,공대유,서지원,현대철,최희진,김다영,김진욱,조민국,조의진,고현철,김세윤,김연,이동호,위민국,하진철,이재영,박범기,박범석,권동원,지웅배,김평조,류한선,이민수,김한,이충배,신훈희,한상균,한도진,임평순,김진숙,김우진,이육헌,이지혁,조성재,송채린,권훈,김영조,오재세,남찬규,양욱,김상화,류근식,김왕도,홍인아,강지훈,김선홍,장나라,김시원,한민희,이덕건,이순풍,김상욱,김우택,김용우,정상균,구본혁,최민혁,김민호,최나린,문근식,김용우,최병문,권관옥,박경준,한동균,백승환,최현종,신동호,홍경훈,유현식,김탁,이진희,홍현종,최기상,육효명,이정철,양영일,김지한,이규연,고재운,표성균,정승기,유재상,임재혁,문지완,최승혁,강민규,백남해,전병도,김종표,추태균,안영진,이선희,안승현,손인숙,이승미,김애란,김철웅,박문희,박현옥,안찬성,이미경,박천호,정석희,한옥순,유영숙,한재완,박미숙,조혜경,이원,김도현,김도빈,전지호,문장택,이용기,인승주,임정빈,박주현,최민서,박민혁,김영욱,김진우,이종현,이상직,윤정도,김상우,송승표,신민규,김성우,고태관,박종훈,허인홍,경성현,최현채,김태준,조우진,유현주,김규민,정세미,고해성,강태식,박소라"
165,공범,611,"12,333,110,882","1,766,285",스릴러,15세이상관람가,10,2013,2013-10-24,국동석,"손예진,김갑수,임형준,이규한,조안,강신일,유원선,이선아,장루비,최단비,함채영,김광규,박사랑,임종윤,유지연,박지연,김승훈,정민성"
166,대호,892,"13,489,904,632","1,762,742",사극,12세이상관람가,12,2015,2015-12-16,박훈정,"최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이나라,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환,손성찬,설창희,곽진석,김서원,정태야"
168,강남 1970,841,"17,717,971,499","2,192,172",액션,청소년관람불가,1,2015,2015-01-21,유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우,임용순,박기륭,유정호,신유람,박태산,남진복,박혁민"
169,제보자,676,"13,371,522,302","1,735,640",드라마,12세이상관람가,10,2014,2014-10-02,임순례,"박해일,유연석,이경영,박원상,류현경,송하윤,김강현,김수안,김중기,이봉규,이승준,박세정,서지원,안수정,양대성,정보현,조남호,최성진,황현태,김경란,김도윤,김유민,김지은,유재명,장문규,김새벽,정훈석,최희진,김원해,장광,김영재,황정민,한기중,이미도,최용민,권해효,남명렬,이화룡,박성근,최교식,전수지,오창경,권범택,남진복,김태훈"
170,파파로티,552,"11,808,286,000","1,713,891",드라마,15세이상관람가,3,2013,2013-03-14,윤종찬,"한석규,이제훈,오달수,조진웅,강소라,이재용,채성원,홍준표,송원종,배성우,차종호,성유빈,이유준,정민성,김지석,이상훈,오창경"
171,쎄시봉,829,"13,509,581,911","1,707,487",멜로/로맨스,15세이상관람가,2,2015,2015-02-05,김현석,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효,최유화"
172,피끓는 청춘,679,"11,688,382,888","1,676,040",코미디,15세이상관람가,1,2014,2014-01-22,이연우,"박보영,이종석,이세영,김영광,신현탁,우혜영,장세준,박지영,손지훈,송정민,안지혜,정승호,윤보현,정현진,조유진,조현주,이경주,이덕화,최영,최현영,홍수정,이예진,이은정,이정아,김기철,김동준,김수정,김영,김종현,김지혜,김하경,박선주,박정민,라미란,여윤호,김광규,유하복,권해효,김희원,정재훈,윤원준,전수진,류성현,김도율"
173,PMC: 더 벙커,"1,081","14,024,838,424","1,671,548",액션,15세이상관람가,12,2018,2018-12-26,김병우,"하정우,이선균,제니퍼 엘,이상원,민무제,강신철,손성찬,안성봉,양지수,신현빈"
174,임금님의 사건수첩,"1,054","12,648,793,723","1,634,403",코미디,12세이상관람가,4,2017,2017-04-26,문현성,"이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진,박용균,박정민,박진욱,박형수,서병철,심상용,안용우,조제웅,유하나,윤기현,이상원,이승일,이승훈,이영호,이웅희,이재현,이재환,이정민,이주원,최용훈,김종훈,김정영,장문규,김응수,홍기준,강찬희,송훈,임용순,정태야"
175,걸캅스,973,"13,772,604,134","1,625,037",코미디,15세이상관람가,5,2019,2019-05-09,정다원,"라미란,이성경,윤상현,최수영,염혜란,위하준,주우재,강홍석,김도완,이정민,신현숙,이레,조혜주,배유람,임현성,안재홍,한수현,조병규,강문봉,강성하,곽민석,박소은,서석규,서성현,김광섭,옥자연,성동일,소희정,백승환,김미지,김민경,안대웅,안성봉,여이레,오상준,오상준,오성현,오세환,김성균,오하늬,김성종,김송이,최예림,이성규,김정교,조미라,조서진,김정현,전소영,김승아,이진성,황필규,황필성,김신우,최준영,이가희,김준,강신하,김지나,이금용,이기원,김지유,이승훈,최혜진,김한상,김병남,하정우,이영아,김세진,김태준,이확광,임예은,한수연,조예진,김용진,김춘심,김해정,류대산,나대남,위하준,노승은,이윤희,정두원,이은숙,정세인,김철환,김찬희,윤현길,신한숙,이도연,최병윤,김진욱,이문빈,심희진,이선정,안창환,이의수,전석호,여시현,여은지,여은지,임현철,오성미,설창희,하연희,송지혁,한건희,임범용,황이현,박두희,허단비"
176,우아한 거짓말,555,"11,694,011,300","1,613,392",드라마,12세이상관람가,3,2014,2014-03-13,이한,"김희애,고아성,김유정,김향기,유아인,강다영,강다정,박지영,박진수,선현철,장세영,오유진,정난희,조민영,조수정,이경원,이경원,이나현,이수경,한재훈,이승준,이은진,이재구,이재은,황은정,김민아,김민정,김영재,김지훈,김해일,김화목,박송해,송지인,김정영,박수영,천우희,한이진,정예녹,신정섭"
179,두근두근 내 인생,629,"12,191,623,034","1,611,519",드라마,12세이상관람가,9,2014,2014-09-03,이재용,"김승욱,송혜교,강동원,조성목,백일섭,황석정,안현정,강상대,신동길,양승걸,이강진,이동민,전상원,정동혁,정해진,허준석,김동섭,김소진,김승찬,김화목,도현민,박광설,채서진,김태준,오희준,서현,홍완표,최정현,신정섭"
180,사자,"1,405","12,917,306,145","1,609,737",미스터리,15세이상관람가,7,2019,2019-07-31,김주환,"박서준,안성기,우도환,이승준,최우식,박진주,박지현,정지훈,이승희,심희섭,이찬유,김시은,김선민,정의순,김범수,박재홍,차시원,류경수,서정연,장세아,배현성,이설,이수인,이정현,김근영,최홍일,한혜지,강민구,고현경,박소은,민설애,박재홍,김근영,김기범,설윤지,박지열,박지헌,김대한,손우진,김도율,박하영,배향,백길찬,신안진,신안진,김민지,유호한,오자훈,김상현,윤재인,강민경,김현준,김현준,이주원,장효석,김혜정,김효경,홍준표,전주희,김종완,정다은,율찬,최지민,최지혜,김한나,김예지,김설호,이영훈,임용순,김종균,조은형,조태관,한주아,우연희,정경천,신호용,신민호,정태찬,최성아,이예린,손병일,배인호,배한용,장태양,백낙순,홍승범,한다미,황수인"
181,창궐,"1,351","13,275,772,490","1,599,290",사극,15세이상관람가,10,2018,2018-10-25,김성훈,"현빈,장동건,조우진,정만식,이선빈,김의성,조달환,박진우,서지혜,한지은,공정환,김태우,이승일,이동훈,이상준,이상훈,이승주,배정환,이우성,이우정,이재남,이정민,이정민,김주혁,서지은,이진용,이창훈,이형원,김지수,김태경,김태윤,김태희,김하진,나대한,윤석동,민경옥,박경관,박성빈,임용순,장현,장윤정,정선희,정선희,박종범,정수연,박지아,박지원,정재훈,박태민,김현욱,김현욱,강정진,조민아,최규리,최아영,김다연,김다연,김대현,최재영,한아름,한지혜,한지혜,편광진,황원일,김성태,김은진,김수지,김승환,김성규,김제형,오재세,한성희,허성태,허준석,조윤서,송훈,김성준,김대곤,조한준,전운종,주광현,이유진,정현국,오일용,김성준"
182,더 폰,794,"12,309,164,568","1,593,694",스릴러,15세이상관람가,10,2015,2015-10-22,김봉주,"손현주,엄지원,배성우,김성종,권지훈,조용관,정한빈,정진근,장한별,임태훈,이확광,이병권,김경애,김광섭,이광기,김영민,김용환,김소영,김주희,김태환,김한준,서병철,백동현,이철민,노정의,장인섭,조달환,황석정,이정민,이수인,김기천,권혁범"
183,성난황소,"1,010","13,236,490,737","1,593,386",범죄,15세이상관람가,11,2018,2018-11-22,김민호,"마동석,송지효,김성오,김민재,박지환,이동진,이세영,박혜림,김재철,이연주,신수경,이창훈,김흥태,노성후,장혁진,박지훈,박진성,김산,김민재,김수진,김용빈,김수진,이성우,배진웅,정인기,최홍일,서문호,황재열"
184,도어락,954,"12,694,612,486","1,545,442",스릴러,15세이상관람가,12,2018,2018-12-05,이권,"공효진,김예원,김성오,조복래,이가섭,이천희,김동규,김보경,김유정,김지한,김지현,백민준,이승창,장효석,한지은,배유리,배명진,차엽,윤종석,이장유,이홍내,손영희,정종우"
185,정직한 후보,"1,187","12,765,456,530","1,525,718",코미디,12세이상관람가,2,2020,2020-02-12,장유정,"라미란,김무열,나문희,윤경호,장동주,송영창,온주완,조한철,손종학,조수향,윤세아,김용림,박성준,임영우"
186,리틀 포레스트,884,"11,924,818,185","1,505,560",드라마,전체관람가,2,2018,2018-02-28,임순례,"김태리,류준열,문소리,진기주,홍성덕,이광용,이상준,김재훈,이유진,김정은,김주은,이태영,김지윤,오수엽,박미현,박민지,박성준,임정희,박수현,박정희,박종찬,김혁,김호,강민지,김다정,김동혁,김명희,최원석,최혜림,김소정,김수현,김은영,김예슬,전국향,장재희,정준원,김현지"
187,내부자들: 디 오리지널,838,"16,973,885,275","2,083,999",범죄,청소년관람불가,12,2015,2015-12-31,우민호,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철,정민성,박성근,이문석"
