,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1
320,함정,445,2088685200,257.716,스릴러,청소년관람불가,9,2015,3,12
321,기묘한 가족,625,2062904275,256.202,코미디,12세이상관람가,2,2019,0,17
322,밤의 여왕,333,1762892500,252.475,멜로/로맨스,15세이상관람가,10,2013,1,7
323,극적인 하룻밤,434,2610929429,320.923,멜로/로맨스,청소년관람불가,12,2015,3,7
324,사이코메트리,429,3964769129,531.953,미스터리,청소년관람불가,3,2013,3,9
325,어느날,532,1827370582,232.016,멜로/로맨스,15세이상관람가,4,2017,1,7
326,순정,467,1643792033,229.059,드라마,12세이상관람가,2,2016,0,6
327,치즈인더트랩,364,1890873700,229.005,멜로/로맨스,15세이상관람가,3,2018,1,7
328,황제를 위하여,423,4751881771,592.041,액션,청소년관람불가,6,2014,3,14
329,1급기밀,512,1720083300,217.803,드라마,12세이상관람가,1,2018,0,6
330,속닥속닥,314,1900914300,217.444,공포(호러),15세이상관람가,7,2018,1,3
331,헬머니,422,4096141972,519.983,코미디,청소년관람불가,3,2015,3,17
332,덕수리 5형제,346,1560183200,206.953,코미디,15세이상관람가,12,2014,1,17
333,창수,415,3146542000,429.141,드라마,청소년관람불가,11,2013,3,6
334,비스트,737,1596148590,202.007,범죄,15세이상관람가,6,2019,1,10
335,어린 의뢰인,671,1631919600,198.211,드라마,12세이상관람가,5,2019,0,6
336,연애의 맛,398,1706805153,212.154,멜로/로맨스,청소년관람불가,5,2015,3,7
337,언더독,612,1485934830,193.484,애니메이션,전체관람가,1,2019,2,13
338,두 남자,397,459566121,60.365,범죄,청소년관람불가,11,2016,3,10
339,런닝맨 : 풀룰루의 역습,511,1414494750,186.324,애니메이션,전체관람가,12,2018,2,13
340,사라진 시간,874,1651202580,185.655,미스터리,15세이상관람가,6,2020,1,9
341,우상,900,1581839728,183.784,스릴러,15세이상관람가,3,2019,1,12
342,마이 리틀 히어로,341,1286203128,183.65,드라마,전체관람가,1,2013,2,6
343,채비,480,1249977864,175.889,드라마,12세이상관람가,11,2017,0,6
344,국제수사,1074,1343185920,175.843,코미디,15세이상관람가,9,2020,1,17
345,톱스타,397,1194180500,175.152,드라마,15세이상관람가,10,2013,1,6
346,두번할까요,658,1449660120,174.938,코미디,15세이상관람가,10,2019,1,17
347,아빠를 빌려드립니다,326,1188673500,172.445,코미디,12세이상관람가,11,2014,0,17
348,자전차왕 엄복동,624,1304861670,172.212,드라마,12세이상관람가,2,2019,0,6
349,대배우,474,1245426228,169.855,코미디,12세이상관람가,3,2016,0,17
350,하이힐,385,2735972500,339.844,범죄,청소년관람불가,6,2014,3,10
351,진범,224,1424601000,167.333,스릴러,15세이상관람가,7,2019,1,12
352,담보,1342,1290710760,165.849,드라마,12세이상관람가,9,2020,0,6
353,최강전사 미니특공대 : 새로운 악당의 습격,318,1163431200,154.342,애니메이션,전체관람가,2,2015,2,13
354,달빛궁궐,425,1134639700,151.36,애니메이션,전체관람가,9,2016,2,13
355,비정규직 특수요원,497,1150732700,149.719,코미디,15세이상관람가,3,2017,1,17
356,나의 절친 악당들,384,1054470664,133.553,범죄,청소년관람불가,6,2015,3,10
357,은밀한 유혹,394,1112423247,142.405,멜로/로맨스,15세이상관람가,6,2015,1,7
358,좋은 친구들,371,3201527031,404.456,범죄,청소년관람불가,7,2014,3,10
359,극장판 또봇: 로봇군단의 습격,231,1089135300,141.592,애니메이션,전체관람가,4,2017,2,13
360,가시,356,1094017000,141.956,멜로/로맨스,청소년관람불가,4,2014,3,7
361,독전: 익스텐디드 컷,398,844714600,137.775,범죄,15세이상관람가,7,2018,1,10
362,0.0MHz,446,1088258860,137.294,공포(호러),15세이상관람가,5,2019,1,3
363,검객,832,1162122130,136.824,액션,15세이상관람가,9,2020,1,14
364,극장판 꼬마버스 타요의 에이스 구출작전,200,905899900,135.398,애니메이션,전체관람가,1,2016,2,13
365,로마의 휴일,436,993321176,134.827,코미디,15세이상관람가,8,2017,1,17
366,워킹걸,308,1183887479,149.181,코미디,청소년관람불가,1,2015,3,17
367,응징자,305,1388412500,192.347,액션,청소년관람불가,10,2013,3,14
368,시간위의 집,454,987958600,124.601,미스터리,15세이상관람가,4,2017,1,9
369,퇴마: 무녀굴,331,951843500,120.802,공포(호러),15세이상관람가,8,2015,1,3
370,최강전사 미니특공대: 영웅의 탄생,349,866704200,115.704,애니메이션,전체관람가,2,2016,2,13
371,분노의 윤리학,302,1654554000,224.891,스릴러,청소년관람불가,2,2013,3,12
372,저 산 너머,468,772697300,103.535,드라마,12세이상관람가,4,2020,0,6
373,크게 될 놈,447,780915420,102.223,드라마,15세이상관람가,4,2019,1,6
374,루시드 드림,461,759481000,102.17,SF,15세이상관람가,2,2017,1,0
375,암전,423,898461215,101.913,미스터리,15세이상관람가,8,2019,1,9
376,게이트,208,820756100,101.173,범죄,15세이상관람가,2,2018,1,10
377,돌연변이,399,748936684,100.543,드라마,12세이상관람가,10,2015,0,6
378,미니특공대X,458,744858200,99.952,애니메이션,전체관람가,3,2018,2,13
379,디바,831,834454530,99.659,스릴러,15세이상관람가,9,2020,1,12
380,여중생A,479,811686000,97.849,드라마,12세이상관람가,6,2018,0,6
381,슈퍼 빼꼼: 스파이 대작전,358,691794900,97.005,애니메이션,전체관람가,5,2017,2,13
382,걷기왕,462,710905075,95.542,드라마,12세이상관람가,10,2016,0,6
383,무서운 이야기 3 : 화성에서 온 소녀,317,764967500,95.415,공포(호러),15세이상관람가,6,2016,1,3
384,일사각오,51,682581500,94.767,드라마,12세이상관람가,3,2016,0,6
385,브레이크 더 사일런스: 더 무비,205,807802000,92.078,다큐멘터리,전체관람가,9,2020,2,5
386,그대 이름은 장미,540,735782970,88.054,코미디,12세이상관람가,1,2019,0,17
387,터널 3D,264,620874000,80.989,공포(호러),15세이상관람가,8,2014,1,3
388,소리꾼,573,642120680,79.215,사극,12세이상관람가,7,2020,0,11
389,극장판 미니특공대: 공룡왕 디노,485,613273720,78.929,애니메이션,전체관람가,2,2020,2,13
390,배우는 배우다,297,811031000,111.927,드라마,청소년관람불가,10,2013,3,6
391,엽기적인 그녀 2,387,588233900,76.321,멜로/로맨스,15세이상관람가,5,2016,1,7
392,정글히어로,287,506194300,71.33,애니메이션,전체관람가,10,2014,2,13
393,번개맨,393,516736500,69.303,판타지,전체관람가,2,2016,2,18
394,쓰리 썸머 나잇,297,616132846,77.621,코미디,청소년관람불가,7,2015,3,17
395,여곡성,212,594373400,67.368,공포(호러),15세이상관람가,11,2018,1,3
396,극장판 반지의 비밀일기,459,539843170,67.319,애니메이션,전체관람가,9,2019,2,13
397,올레,338,522938900,66.883,드라마,15세이상관람가,8,2016,1,6
398,뷰티풀 투모로우,47,552273700,63.279,드라마,12세이상관람가,10,2017,0,6
399,맨홀,286,1053876130,129.732,공포(호러),청소년관람불가,10,2014,3,3
400,번개맨과 신비의 섬,191,481474700,59.923,가족,전체관람가,4,2018,2,1
401,극장판 프랭키와 친구들: 생명의 나무,258,410518600,56.835,애니메이션,전체관람가,4,2016,2,13
402,빅뱅 메이드,56,464727700,55.227,다큐멘터리,12세이상관람가,6,2016,0,5
403,잡아야 산다,219,410361400,54.45,코미디,15세이상관람가,1,2016,1,17
404,왓칭,488,456558262,54.41,공포(호러),15세이상관람가,4,2019,1,3
405,머니백,472,411511600,52.618,액션,15세이상관람가,4,2018,1,14
406,미안해 사랑해 고마워,344,359247800,51.207,드라마,15세이상관람가,10,2015,1,6
407,젝스키스 에이틴,25,364405500,50.419,다큐멘터리,전체관람가,1,2018,2,5
408,비밀,305,369339300,50.196,미스터리,15세이상관람가,10,2015,1,9
409,번개맨의 비밀,309,383521050,49.751,가족,전체관람가,12,2018,2,1
410,데자뷰,536,360833100,48.279,미스터리,15세이상관람가,5,2018,1,9
411,목숨 건 연애,393,359712800,47.479,멜로/로맨스,15세이상관람가,12,2016,1,7
412,뜨거운 안녕,172,315291000,47.105,드라마,12세이상관람가,5,2013,0,6
413,비밥바룰라,347,318986200,46.817,코미디,12세이상관람가,1,2018,0,17
414,"그래, 가족",361,350293300,46.623,코미디,12세이상관람가,2,2017,0,17
415,노리개,278,1229574500,169.054,드라마,청소년관람불가,4,2013,3,6
416,설계,257,347188800,45.638,스릴러,청소년관람불가,9,2014,3,12
417,약장수,282,313238400,43.562,드라마,15세이상관람가,4,2015,1,6
418,극장판 뽀잉: 슈퍼 변신의 비밀,294,312710450,41.054,애니메이션,전체관람가,9,2018,2,13
419,배반의 장미,457,332232550,41.054,코미디,15세이상관람가,10,2018,1,17
420,레이디버그,172,310291500,41.041,애니메이션,전체관람가,2,2017,2,13
421,아이즈 온 미 : 더 무비,124,506274000,39.228,공연,전체관람가,6,2020,2,2
422,트릭,390,297315300,38.155,스릴러,15세이상관람가,7,2016,1,12
423,백프로,236,275138600,36.792,코미디,15세이상관람가,4,2014,1,17
424,죽지않는 인간들의 밤,570,284194510,36.582,코미디,15세이상관람가,9,2020,1,17
425,에스엠타운 더 스테이지,65,284650500,35.857,다큐멘터리,전체관람가,8,2015,2,5
426,스파키,312,257040200,35.436,애니메이션,전체관람가,4,2018,2,13
427,대결,366,251176500,32.278,액션,15세이상관람가,9,2016,1,14
428,썬키스 패밀리,417,245549900,31.742,가족,15세이상관람가,3,2019,1,1
429,검은손,178,89815665,11.65,공포(호러),청소년관람불가,4,2015,3,3
430,역모-반란의 시대,355,212967300,29.294,사극,15세이상관람가,11,2017,1,11
431,캐리tv 러브콘서트 더 무비,155,225815700,28.679,공연,전체관람가,8,2019,2,2
432,인천상륙작전 : 익스텐디드 에디션(확장판),122,220051200,27.07,전쟁,15세이상관람가,9,2016,1,16
433,해피 투게더,240,204452450,27.046,드라마,12세이상관람가,11,2018,0,6
434,GROW: 인피니트의 리얼 청춘 라이프,71,189774200,23.926,드라마,전체관람가,12,2014,2,6
435,고스트 메신저 극장판,81,184033000,23.721,애니메이션,12세이상관람가,5,2014,0,13
436,얼굴없는 보스,293,199801000,23.711,액션,15세이상관람가,11,2019,1,14
437,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",106,702023500,22.938,공연,전체관람가,9,2020,2,2
438,히어로,179,148940000,22.617,가족,전체관람가,10,2013,2,1
439,파워배틀 와치카: 와치가면의 역습,246,153909000,22.11,애니메이션,전체관람가,6,2017,2,13
440,터닝메카드W: 반다인의 비밀 특별판,168,164797700,21.947,애니메이션,전체관람가,2,2018,2,13
441,히야,124,173844100,21.687,드라마,12세이상관람가,3,2016,0,6
442,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,91,133926800,20.175,애니메이션,전체관람가,8,2014,2,13
443,완전 소중한 사랑,66,127694500,20.063,드라마,12세이상관람가,11,2013,0,6
444,트와이스랜드,53,153765000,18.252,다큐멘터리,전체관람가,12,2018,2,5
445,이별계약,63,127495500,17.797,멜로/로맨스,12세이상관람가,6,2013,0,7
446,극장판 샤이닝스타:새로운 루나퀸의 탄생!,117,129098700,15.785,애니메이션,전체관람가,7,2019,2,13
447,핑크퐁 시네마 콘서트 : 우주대탐험,182,118488500,15.229,애니메이션,전체관람가,1,2020,2,13
448,부활,83,112596500,14.437,다큐멘터리,전체관람가,7,2020,2,5
449,무수단,228,112188400,14.386,미스터리,15세이상관람가,3,2016,1,9
450,닥터,163,495574500,68.312,스릴러,청소년관람불가,6,2013,3,12
451,웃는남자 감독판,18,172341000,13.087,공연,전체관람가,11,2019,2,2
452,사랑하고 있습니까,295,102673840,12.878,판타지,12세이상관람가,3,2020,0,18
453,꼭두각시,134,227941500,31.713,공포(호러),청소년관람불가,6,2013,3,3
454,타투,133,99263100,12.103,스릴러,청소년관람불가,12,2015,3,12
455,이웃집 스타,256,78213300,10.854,코미디,12세이상관람가,9,2017,0,17
456,제 7기사단,95,80160964,10.71,액션,15세이상관람가,9,2015,1,14
457,슈퍼레이서 엔지,126,73587800,10.612,애니메이션,전체관람가,9,2015,2,13
458,폴라로이드,27,65317000,10.094,드라마,전체관람가,7,2015,2,6
459,신화 라이브 3D 더 레전드 컨티뉴스,29,114524000,9.817,공연,전체관람가,12,2014,2,2
460,아티스트 봉만대,131,93817000,14.188,코미디,청소년관람불가,8,2013,3,17
461,메이크 유어 무브,96,73741600,9.368,멜로/로맨스,12세이상관람가,4,2014,0,7
462,세상끝의 사랑,97,34737300,4.472,멜로/로맨스,청소년관람불가,11,2015,3,7
463,극장판 미니특공대: 햄버거괴물의 습격,413,70630710,8.755,애니메이션,전체관람가,9,2020,2,13
464,노트르담 드 파리,36,107289500,8.35,뮤지컬,전체관람가,11,2017,2,8
465,원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,39,90752500,8.038,공연,전체관람가,10,2013,2,2
466,"의궤, 8일간의 축제 3D",16,45334000,7.956,다큐멘터리,전체관람가,4,2014,2,5
467,꾸루꾸루와 친구들: 무지개 나무의 비밀,103,51367500,7.345,애니메이션,전체관람가,11,2015,2,13
468,청춘 합창단 - 또 하나의 꿈,39,44711400,6.489,다큐멘터리,전체관람가,6,2017,2,5
469,한 번도 안 해본 여자,66,71166500,9.469,멜로/로맨스,청소년관람불가,1,2014,3,7
470,해적왕 작스톰,65,45905800,5.916,애니메이션,전체관람가,7,2018,2,13
471,서태지밴드 콘서트투어 '콰이어트나이트',6,52669600,5.908,공연,전체관람가,11,2015,2,2
472,스퀴시랜드,55,38111300,5.473,애니메이션,전체관람가,6,2014,2,13
473,구세주: 리턴즈,124,39997000,5.401,코미디,15세이상관람가,9,2017,1,17
474,돌아와요 부산항애(愛),88,38622300,5.163,범죄,15세이상관람가,1,2018,1,10
475,연애의 기술,63,64882000,8.913,멜로/로맨스,청소년관람불가,10,2013,3,7
476,은밀하게 위대하게 (확장판),5,34327500,4.738,액션,15세이상관람가,8,2013,1,14
477,청춘학당 : 풍기문란 보쌈 야사,57,26637900,3.772,멜로/로맨스,청소년관람불가,3,2014,3,7
478,왕을 참하라,54,32469800,4.237,드라마,청소년관람불가,3,2017,3,6
479,부산행:익스텐디드,88,32808500,4.117,액션,15세이상관람가,7,2020,1,14
480,매지컬: 공주를 웃겨라,220,31582870,4.05,애니메이션,전체관람가,9,2020,2,13
481,"1789, 바스티유의 연인들",35,67308500,3.892,뮤지컬,전체관람가,9,2014,2,8
482,맛있는 택배,50,31122000,6.276,멜로/로맨스,청소년관람불가,4,2015,3,7
483,돈 맛,50,8439000,1.733,멜로/로맨스,청소년관람불가,9,2016,3,7
484,제인의 썸머,43,12575500,2.182,멜로/로맨스,청소년관람불가,6,2020,3,7
485,공포체험단 곤지암편,10,17285500,3.282,공포(호러),15세이상관람가,7,2019,1,3
486,무명인,51,25063600,3.199,미스터리,15세이상관람가,5,2014,1,9
487,미친도시,4,24029500,3.165,드라마,15세이상관람가,8,2018,1,6
488,리벤져,57,22088100,3.028,액션,15세이상관람가,12,2018,1,14
489,광인옥한흠,18,22537200,2.985,다큐멘터리,전체관람가,12,2017,2,5
490,여배우는 너무해,42,19836400,2.673,멜로/로맨스,청소년관람불가,2,2014,3,7
491,런 보이 런,25,20893740,2.956,드라마,15세이상관람가,5,2020,1,6
492,공수도,79,25089500,2.95,액션,15세이상관람가,4,2020,1,14
493,이티피 페스티벌 08X09 서태지,1,26632000,2.764,공연,전체관람가,5,2013,2,2
494,미스체인지,41,23494500,3.344,코미디,청소년관람불가,9,2013,3,17
495,슈퍼쇼 4 3D,26,30332000,2.567,공연,전체관람가,8,2013,2,2
496,강철비2 : 정상회담 확장판,126,10964500,2.498,드라마,15세이상관람가,9,2020,1,6
497,열혈형사,121,20539960,2.492,코미디,12세이상관람가,6,2020,0,17
498,노리개: 그녀의 눈물,50,18961950,2.237,드라마,15세이상관람가,6,2019,1,6
499,아직 사랑하고 있습니까?,38,8863340,1.18,코미디,청소년관람불가,12,2019,3,17
500,레쓰링,33,16073000,2.116,코미디,청소년관람불가,9,2014,3,17
501,몬테크리스토,14,26167000,2.056,뮤지컬,12세이상관람가,11,2019,0,8
502,태백권,62,14307800,2.018,코미디,15세이상관람가,8,2020,1,17
503,파파 오랑후탄,3,14655000,1.951,다큐멘터리,12세이상관람가,4,2018,0,5
504,라라,28,14798800,1.86,멜로/로맨스,15세이상관람가,2,2018,1,7
505,공포체험라디오 4DX,37,16604000,1.794,공포(호러),15세이상관람가,9,2020,1,3
506,살인자의 기억법 : 새로운 기억,24,19563000,2.958,범죄,청소년관람불가,11,2017,3,10
507,프리즈너,49,13642360,1.681,액션,15세이상관람가,7,2020,1,14
508,얼굴없는 보스: 못다한 이야기 감독판,50,12157200,1.662,범죄,15세이상관람가,5,2020,1,10
509,일탈여행: 프라이빗 아일랜드,23,18135500,3.46,멜로/로맨스,청소년관람불가,8,2013,3,7
510,오늘도 위위,40,11681460,1.416,드라마,전체관람가,10,2019,2,6
511,나는 증인이다,2,7113800,1.407,미스터리,15세이상관람가,9,2016,1,9
512,게이트-완결판,5,1348000,1.339,범죄,15세이상관람가,6,2018,1,10
513,더하우스,48,7631000,1.245,스릴러,15세이상관람가,12,2019,1,12
514,스케치,22,10690500,1.483,멜로/로맨스,청소년관람불가,3,2014,3,7
515,"시발, 놈: 인류의 시작",10,8802400,1.159,코미디,15세이상관람가,8,2016,1,17
516,안나 카레니나,9,19632800,1.116,뮤지컬,12세이상관람가,6,2018,0,8
517,무서운 집,1,9371000,1.039,공포(호러),12세이상관람가,7,2015,0,3
518,아르코라이브 뮤지컬 안테모사,16,12059500,1.016,공연,전체관람가,3,2020,2,2
519,아더왕의 전설,5,15299000,0.967,공연,전체관람가,11,2016,2,2
520,앙상블,1,6195500,0.776,드라마,전체관람가,12,2014,2,6
521,예스 평창!,11,6530800,0.774,다큐멘터리,전체관람가,3,2018,2,5
522,귀신의 향기,17,5295500,0.748,공포(호러),15세이상관람가,7,2019,1,3
523,오디세오,8,9880000,0.662,공연,전체관람가,10,2015,2,2
524,정의심판,2,5772000,0.652,드라마,15세이상관람가,10,2019,1,6
525,마지막 위안부,1,4172000,0.49,드라마,15세이상관람가,8,2015,1,6
526,바캉스,21,14674000,5.051,스릴러,청소년관람불가,10,2013,3,12
527,호두까기 인형,1,1488000,0.372,공연,전체관람가,12,2014,2,2
528,사랑하기 때문에,542,1723000,0.337,코미디,12세이상관람가,1,2017,0,17
529,풍뎅이뎅이,4,2001000,0.308,애니메이션,전체관람가,2,2018,2,13
530,다이빙벨: 진실은 침몰하지 않습니다,4,2209000,0.3,다큐멘터리,15세이상관람가,4,2015,1,5
531,스피릿 오브 베토벤,1,1164000,0.291,공연,전체관람가,12,2014,2,2
532,아빠가 돌아왔다,1,1450000,0.22,가족,15세이상관람가,5,2016,1,1
533,폐교,20,670300,0.113,공포(호러),15세이상관람가,9,2019,1,3
534,머피와 샐리의 법칙,1,212000,0.106,코미디,12세이상관람가,5,2020,0,17
535,아르코라이브 의자 고치는 여인,6,1205500,0.102,공연,12세이상관람가,5,2020,0,2
536,유신의 미학,1,739000,0.093,드라마,15세이상관람가,12,2015,1,6
537,아르코 라이브 완창판소리프로젝트2 강산제수궁가,7,917000,0.077,공연,전체관람가,4,2020,2,2
538,"불의 날, 생명을 말하다",1,568000,0.071,다큐멘터리,전체관람가,4,2016,2,5
539,한민족 그리고 조선족,1,568000,0.071,다큐멘터리,전체관람가,12,2014,2,5
540,외계인들,1,270000,0.054,코미디,15세이상관람가,12,2014,1,17
541,이상한 게임,1,324000,0.054,미스터리,15세이상관람가,6,2019,1,9
542,콩쥐별전 - 전주성의 비밀,1,219000,0.052,애니메이션,전체관람가,7,2019,2,13
543,아르코라이브 무용 히트 앤 런,6,343000,0.049,공연,전체관람가,5,2020,2,2
544,깡패와소녀,1,212000,0.027,드라마,15세이상관람가,7,2020,1,6
545,악녀의 시,5,123000,0.014,범죄,15세이상관람가,2,2016,1,10
546,마음,1,12000,0.002,드라마,15세이상관람가,7,2016,1,6
547,독고다이,1,1000,0.001,드라마,15세이상관람가,6,2019,1,6
548,어쩌다 옥탑방,1,1000,0.001,SF,15세이상관람가,4,2019,1,0
549,이 사랑도 전해질까요,1,3000,0.001,멜로/로맨스,전체관람가,6,2017,2,7
