,Movie,Screen,Sales,Audience,Genre,Rate,month,year
369,퇴마: 무녀굴,331,951843500,120802,공포(호러),15세이상관람가,8,2015
370,최강전사 미니특공대: 영웅의 탄생,349,866704200,115704,애니메이션,전체관람가,2,2016
371,분노의 윤리학,302,1654554000,224891,스릴러,청소년관람불가,2,2013
372,저 산 너머,468,772697300,103535,드라마,12세이상관람가,4,2020
373,크게 될 놈,447,780915420,102223,드라마,15세이상관람가,4,2019
374,루시드 드림,461,759481000,102170,SF,15세이상관람가,2,2017
375,암전,423,898461215,101913,미스터리,15세이상관람가,8,2019
376,게이트,208,820756100,101173,범죄,15세이상관람가,2,2018
377,돌연변이,399,748936684,100543,드라마,12세이상관람가,10,2015
378,미니특공대X,458,744858200,99952,애니메이션,전체관람가,3,2018
379,디바,831,834454530,99659,스릴러,15세이상관람가,9,2020
380,여중생A,479,811686000,97849,드라마,12세이상관람가,6,2018
381,슈퍼 빼꼼: 스파이 대작전,358,691794900,97005,애니메이션,전체관람가,5,2017
382,걷기왕,462,710905075,95542,드라마,12세이상관람가,10,2016
383,무서운 이야기 3 : 화성에서 온 소녀,317,764967500,95415,공포(호러),15세이상관람가,6,2016
384,일사각오,51,682581500,94767,드라마,12세이상관람가,3,2016
385,브레이크 더 사일런스: 더 무비,205,807802000,92078,다큐멘터리,전체관람가,9,2020
386,그대 이름은 장미,540,735782970,88054,코미디,12세이상관람가,1,2019
387,터널 3D,264,620874000,80989,공포(호러),15세이상관람가,8,2014
388,소리꾼,573,642120680,79215,사극,12세이상관람가,7,2020
389,극장판 미니특공대: 공룡왕 디노,485,613273720,78929,애니메이션,전체관람가,2,2020
390,배우는 배우다,297,811031000,111927,드라마,청소년관람불가,10,2013
391,엽기적인 그녀 2,387,588233900,76321,멜로/로맨스,15세이상관람가,5,2016
392,정글히어로,287,506194300,71330,애니메이션,전체관람가,10,2014
393,번개맨,393,516736500,69303,판타지,전체관람가,2,2016
394,쓰리 썸머 나잇,297,616132846,77621,코미디,청소년관람불가,7,2015
395,여곡성,212,594373400,67368,공포(호러),15세이상관람가,11,2018
396,극장판 반지의 비밀일기,459,539843170,67319,애니메이션,전체관람가,9,2019
397,올레,338,522938900,66883,드라마,15세이상관람가,8,2016
398,뷰티풀 투모로우,47,552273700,63279,드라마,12세이상관람가,10,2017
399,맨홀,286,1053876130,129732,공포(호러),청소년관람불가,10,2014
400,번개맨과 신비의 섬,191,481474700,59923,가족,전체관람가,4,2018
401,극장판 프랭키와 친구들: 생명의 나무,258,410518600,56835,애니메이션,전체관람가,4,2016
402,빅뱅 메이드,56,464727700,55227,다큐멘터리,12세이상관람가,6,2016
403,잡아야 산다,219,410361400,54450,코미디,15세이상관람가,1,2016
404,왓칭,488,456558262,54410,공포(호러),15세이상관람가,4,2019
405,머니백,472,411511600,52618,액션,15세이상관람가,4,2018
406,미안해 사랑해 고마워,344,359247800,51207,드라마,15세이상관람가,10,2015
407,젝스키스 에이틴,25,364405500,50419,다큐멘터리,전체관람가,1,2018
408,비밀,305,369339300,50196,미스터리,15세이상관람가,10,2015
409,번개맨의 비밀,309,383521050,49751,가족,전체관람가,12,2018
410,데자뷰,536,360833100,48279,미스터리,15세이상관람가,5,2018
411,목숨 건 연애,393,359712800,47479,멜로/로맨스,15세이상관람가,12,2016
412,뜨거운 안녕,172,315291000,47105,드라마,12세이상관람가,5,2013
413,비밥바룰라,347,318986200,46817,코미디,12세이상관람가,1,2018
414,"그래, 가족",361,350293300,46623,코미디,12세이상관람가,2,2017
415,노리개,278,1229574500,169054,드라마,청소년관람불가,4,2013
416,설계,257,347188800,45638,스릴러,청소년관람불가,9,2014
417,약장수,282,313238400,43562,드라마,15세이상관람가,4,2015
418,극장판 뽀잉: 슈퍼 변신의 비밀,294,312710450,41054,애니메이션,전체관람가,9,2018
419,배반의 장미,457,332232550,41054,코미디,15세이상관람가,10,2018
420,레이디버그,172,310291500,41041,애니메이션,전체관람가,2,2017
421,아이즈 온 미 : 더 무비,124,506274000,39228,공연,전체관람가,6,2020
422,트릭,390,297315300,38155,스릴러,15세이상관람가,7,2016
423,백프로,236,275138600,36792,코미디,15세이상관람가,4,2014
424,죽지않는 인간들의 밤,570,284194510,36582,코미디,15세이상관람가,9,2020
425,에스엠타운 더 스테이지,65,284650500,35857,다큐멘터리,전체관람가,8,2015
426,스파키,312,257040200,35436,애니메이션,전체관람가,4,2018
427,대결,366,251176500,32278,액션,15세이상관람가,9,2016
428,썬키스 패밀리,417,245549900,31742,가족,15세이상관람가,3,2019
429,검은손,178,89815665,11650,공포(호러),청소년관람불가,4,2015
430,역모-반란의 시대,355,212967300,29294,사극,15세이상관람가,11,2017
431,캐리tv 러브콘서트 더 무비,155,225815700,28679,공연,전체관람가,8,2019
432,인천상륙작전 : 익스텐디드 에디션(확장판),122,220051200,27070,전쟁,15세이상관람가,9,2016
433,해피 투게더,240,204452450,27046,드라마,12세이상관람가,11,2018
434,GROW: 인피니트의 리얼 청춘 라이프,71,189774200,23926,드라마,전체관람가,12,2014
435,고스트 메신저 극장판,81,184033000,23721,애니메이션,12세이상관람가,5,2014
436,얼굴없는 보스,293,199801000,23711,액션,15세이상관람가,11,2019
437,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",106,702023500,22938,공연,전체관람가,9,2020
438,히어로,179,148940000,22617,가족,전체관람가,10,2013
439,파워배틀 와치카: 와치가면의 역습,246,153909000,22110,애니메이션,전체관람가,6,2017
440,터닝메카드W: 반다인의 비밀 특별판,168,164797700,21947,애니메이션,전체관람가,2,2018
441,히야,124,173844100,21687,드라마,12세이상관람가,3,2016
442,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,91,133926800,20175,애니메이션,전체관람가,8,2014
443,완전 소중한 사랑,66,127694500,20063,드라마,12세이상관람가,11,2013
444,트와이스랜드,53,153765000,18252,다큐멘터리,전체관람가,12,2018
445,이별계약,63,127495500,17797,멜로/로맨스,12세이상관람가,6,2013
446,극장판 샤이닝스타:새로운 루나퀸의 탄생!,117,129098700,15785,애니메이션,전체관람가,7,2019
447,핑크퐁 시네마 콘서트 : 우주대탐험,182,118488500,15229,애니메이션,전체관람가,1,2020
448,부활,83,112596500,14437,다큐멘터리,전체관람가,7,2020
449,무수단,228,112188400,14386,미스터리,15세이상관람가,3,2016
450,닥터,163,495574500,68312,스릴러,청소년관람불가,6,2013
451,웃는남자 감독판,18,172341000,13087,공연,전체관람가,11,2019
452,사랑하고 있습니까,295,102673840,12878,판타지,12세이상관람가,3,2020
453,꼭두각시,134,227941500,31713,공포(호러),청소년관람불가,6,2013
454,타투,133,99263100,12103,스릴러,청소년관람불가,12,2015
455,이웃집 스타,256,78213300,10854,코미디,12세이상관람가,9,2017
456,제 7기사단,95,80160964,10710,액션,15세이상관람가,9,2015
457,슈퍼레이서 엔지,126,73587800,10612,애니메이션,전체관람가,9,2015
458,폴라로이드,27,65317000,10094,드라마,전체관람가,7,2015
459,신화 라이브 3D 더 레전드 컨티뉴스,29,114524000,9817,공연,전체관람가,12,2014
460,아티스트 봉만대,131,93817000,14188,코미디,청소년관람불가,8,2013
461,메이크 유어 무브,96,73741600,9368,멜로/로맨스,12세이상관람가,4,2014
462,세상끝의 사랑,97,34737300,4472,멜로/로맨스,청소년관람불가,11,2015
463,극장판 미니특공대: 햄버거괴물의 습격,413,70630710,8755,애니메이션,전체관람가,9,2020
464,노트르담 드 파리,36,107289500,8350,뮤지컬,전체관람가,11,2017
465,원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,39,90752500,8038,공연,전체관람가,10,2013
466,"의궤, 8일간의 축제 3D",16,45334000,7956,다큐멘터리,전체관람가,4,2014
467,꾸루꾸루와 친구들: 무지개 나무의 비밀,103,51367500,7345,애니메이션,전체관람가,11,2015
468,청춘 합창단 - 또 하나의 꿈,39,44711400,6489,다큐멘터리,전체관람가,6,2017
469,한 번도 안 해본 여자,66,71166500,9469,멜로/로맨스,청소년관람불가,1,2014
470,해적왕 작스톰,65,45905800,5916,애니메이션,전체관람가,7,2018
471,서태지밴드 콘서트투어 '콰이어트나이트',6,52669600,5908,공연,전체관람가,11,2015
472,스퀴시랜드,55,38111300,5473,애니메이션,전체관람가,6,2014
473,구세주: 리턴즈,124,39997000,5401,코미디,15세이상관람가,9,2017
474,돌아와요 부산항애(愛),88,38622300,5163,범죄,15세이상관람가,1,2018
475,연애의 기술,63,64882000,8913,멜로/로맨스,청소년관람불가,10,2013
476,은밀하게 위대하게 (확장판),5,34327500,4738,액션,15세이상관람가,8,2013
477,청춘학당 : 풍기문란 보쌈 야사,57,26637900,3772,멜로/로맨스,청소년관람불가,3,2014
478,왕을 참하라,54,32469800,4237,드라마,청소년관람불가,3,2017
479,부산행:익스텐디드,88,32808500,4117,액션,15세이상관람가,7,2020
480,매지컬: 공주를 웃겨라,220,31582870,4050,애니메이션,전체관람가,9,2020
481,"1789, 바스티유의 연인들",35,67308500,3892,뮤지컬,전체관람가,9,2014
482,맛있는 택배,50,31122000,6276,멜로/로맨스,청소년관람불가,4,2015
483,돈 맛,50,8439000,1733,멜로/로맨스,청소년관람불가,9,2016
484,제인의 썸머,43,12575500,2182,멜로/로맨스,청소년관람불가,6,2020
485,공포체험단 곤지암편,10,17285500,3282,공포(호러),15세이상관람가,7,2019
486,무명인,51,25063600,3199,미스터리,15세이상관람가,5,2014
487,미친도시,4,24029500,3165,드라마,15세이상관람가,8,2018
488,리벤져,57,22088100,3028,액션,15세이상관람가,12,2018
489,광인옥한흠,18,22537200,2985,다큐멘터리,전체관람가,12,2017
490,여배우는 너무해,42,19836400,2673,멜로/로맨스,청소년관람불가,2,2014
491,런 보이 런,25,20893740,2956,드라마,15세이상관람가,5,2020
492,공수도,79,25089500,2950,액션,15세이상관람가,4,2020
493,이티피 페스티벌 08X09 서태지,1,26632000,2764,공연,전체관람가,5,2013
494,미스체인지,41,23494500,3344,코미디,청소년관람불가,9,2013
495,슈퍼쇼 4 3D,26,30332000,2567,공연,전체관람가,8,2013
496,강철비2 : 정상회담 확장판,126,10964500,2498,드라마,15세이상관람가,9,2020
497,열혈형사,121,20539960,2492,코미디,12세이상관람가,6,2020
498,노리개: 그녀의 눈물,50,18961950,2237,드라마,15세이상관람가,6,2019
499,아직 사랑하고 있습니까?,38,8863340,1180,코미디,청소년관람불가,12,2019
500,레쓰링,33,16073000,2116,코미디,청소년관람불가,9,2014
501,몬테크리스토,14,26167000,2056,뮤지컬,12세이상관람가,11,2019
502,태백권,62,14307800,2018,코미디,15세이상관람가,8,2020
503,파파 오랑후탄,3,14655000,1951,다큐멘터리,12세이상관람가,4,2018
504,라라,28,14798800,1860,멜로/로맨스,15세이상관람가,2,2018
505,공포체험라디오 4DX,37,16604000,1794,공포(호러),15세이상관람가,9,2020
506,살인자의 기억법 : 새로운 기억,24,19563000,2958,범죄,청소년관람불가,11,2017
507,프리즈너,49,13642360,1681,액션,15세이상관람가,7,2020
508,얼굴없는 보스: 못다한 이야기 감독판,50,12157200,1662,범죄,15세이상관람가,5,2020
509,일탈여행: 프라이빗 아일랜드,23,18135500,3460,멜로/로맨스,청소년관람불가,8,2013
510,오늘도 위위,40,11681460,1416,드라마,전체관람가,10,2019
511,나는 증인이다,2,7113800,1407,미스터리,15세이상관람가,9,2016
512,게이트-완결판,5,1348000,1339,범죄,15세이상관람가,6,2018
513,더하우스,48,7631000,1245,스릴러,15세이상관람가,12,2019
514,스케치,22,10690500,1483,멜로/로맨스,청소년관람불가,3,2014
515,"시발, 놈: 인류의 시작",10,8802400,1159,코미디,15세이상관람가,8,2016
516,안나 카레니나,9,19632800,1116,뮤지컬,12세이상관람가,6,2018
517,무서운 집,1,9371000,1039,공포(호러),12세이상관람가,7,2015
518,아르코라이브 뮤지컬 안테모사,16,12059500,1016,공연,전체관람가,3,2020
519,아더왕의 전설,5,15299000,967,공연,전체관람가,11,2016
520,앙상블,1,6195500,776,드라마,전체관람가,12,2014
521,예스 평창!,11,6530800,774,다큐멘터리,전체관람가,3,2018
522,귀신의 향기,17,5295500,748,공포(호러),15세이상관람가,7,2019
523,오디세오,8,9880000,662,공연,전체관람가,10,2015
524,정의심판,2,5772000,652,드라마,15세이상관람가,10,2019
525,마지막 위안부,1,4172000,490,드라마,15세이상관람가,8,2015
526,바캉스,21,14674000,5051,스릴러,청소년관람불가,10,2013
527,호두까기 인형,1,1488000,372,공연,전체관람가,12,2014
528,사랑하기 때문에,542,1723000,337,코미디,12세이상관람가,1,2017
529,풍뎅이뎅이,4,2001000,308,애니메이션,전체관람가,2,2018
530,다이빙벨: 진실은 침몰하지 않습니다,4,2209000,300,다큐멘터리,15세이상관람가,4,2015
531,스피릿 오브 베토벤,1,1164000,291,공연,전체관람가,12,2014
532,아빠가 돌아왔다,1,1450000,220,가족,15세이상관람가,5,2016
533,폐교,20,670300,113,공포(호러),15세이상관람가,9,2019
534,머피와 샐리의 법칙,1,212000,106,코미디,12세이상관람가,5,2020
535,아르코라이브 의자 고치는 여인,6,1205500,102,공연,12세이상관람가,5,2020
536,유신의 미학,1,739000,93,드라마,15세이상관람가,12,2015
537,아르코 라이브 완창판소리프로젝트2 강산제수궁가,7,917000,77,공연,전체관람가,4,2020
538,"불의 날, 생명을 말하다",1,568000,71,다큐멘터리,전체관람가,4,2016
539,한민족 그리고 조선족,1,568000,71,다큐멘터리,전체관람가,12,2014
540,외계인들,1,270000,54,코미디,15세이상관람가,12,2014
541,이상한 게임,1,324000,54,미스터리,15세이상관람가,6,2019
542,콩쥐별전 - 전주성의 비밀,1,219000,52,애니메이션,전체관람가,7,2019
543,아르코라이브 무용 히트 앤 런,6,343000,49,공연,전체관람가,5,2020
544,깡패와소녀,1,212000,27,드라마,15세이상관람가,7,2020
545,악녀의 시,5,123000,14,범죄,15세이상관람가,2,2016
546,마음,1,12000,2,드라마,15세이상관람가,7,2016
547,독고다이,1,1000,1,드라마,15세이상관람가,6,2019
548,어쩌다 옥탑방,1,1000,1,SF,15세이상관람가,4,2019
549,이 사랑도 전해질까요,1,3000,1,멜로/로맨스,전체관람가,6,2017
