,Movie,Screen,Sales,Audience,Genre,Rate,month,year
87,곤지암,1124,21442114144,2675559,공포(호러),15세이상관람가,3,2018
88,소원,641,18251983100,2663170,드라마,12세이상관람가,10,2013
89,살인자의 기억법,1064,21361479492,2656694,범죄,15세이상관람가,9,2017
90,탐정 : 더 비기닝,764,20463956973,2625686,코미디,15세이상관람가,9,2015
91,지금 만나러 갑니다,1163,20800916128,2602273,멜로/로맨스,12세이상관람가,3,2018
92,지푸라기라도 잡고 싶은 짐승들,996,5442138750,626815,스릴러,청소년관람불가,2,2020
93,보안관,1091,20697532509,2571491,범죄,15세이상관람가,5,2017
94,기술자들,641,19894297783,2564340,범죄,15세이상관람가,12,2014
95,목격자,1021,21732042597,2524086,스릴러,15세이상관람가,8,2018
96,증인,1047,20312348931,2516128,드라마,12세이상관람가,2,2019
97,조작된 도시,1019,20119979587,2512572,범죄,15세이상관람가,2,2017
98,블랙머니,1117,20747796510,2465678,범죄,12세이상관람가,11,2019
99,조선명탐정: 흡혈괴마의 비밀,1249,19690818764,2424330,사극,12세이상관람가,2,2018
100,재심,935,19263100637,2420729,드라마,15세이상관람가,2,2017
101,히트맨,1122,20614278000,2406232,코미디,15세이상관람가,1,2020
102,사바하,1174,20002183194,2397792,미스터리,15세이상관람가,2,2019
103,바람 바람 바람,985,9702206675,1183959,코미디,청소년관람불가,4,2018
104,박열,1176,18093543795,2359174,드라마,12세이상관람가,6,2017
105,리얼,970,3357312530,470105,액션,청소년관람불가,6,2017
106,악의 연대기,776,17360123332,2192243,스릴러,15세이상관람가,5,2015
107,친구 2,968,21804687513,2971475,액션,청소년관람불가,11,2013
108,신의 한 수: 귀수편,1246,18390955050,2146764,범죄,15세이상관람가,11,2019
109,나의 사랑 나의 신부,629,16592056305,2135614,멜로/로맨스,15세이상관람가,10,2014
110,굿바이 싱글,841,16912706195,2108273,코미디,15세이상관람가,6,2016
111,몽타주,540,15000722500,2095375,스릴러,15세이상관람가,5,2013
112,명당,1117,17900775524,2087474,사극,12세이상관람가,9,2018
113,타짜-신의 손,890,32267244827,4001813,드라마,청소년관람불가,9,2014
114,뷰티 인사이드,648,16152717131,2053947,판타지,12세이상관람가,8,2015
115,봉이 김선달,942,16172133642,2044564,사극,12세이상관람가,7,2016
116,천문: 하늘에 묻는다,1198,16502543020,2000490,사극,12세이상관람가,12,2019
117,남자가 사랑할 때,531,14510222300,1979311,멜로/로맨스,15세이상관람가,1,2014
118,협상,919,17032133166,1967721,범죄,15세이상관람가,9,2018
119,#살아있다,1882,15965582900,1903727,드라마,15세이상관람가,6,2020
120,내안의 그놈,1041,16293580567,1901684,판타지,15세이상관람가,1,2019
121,오늘의 연애,709,14924654487,1891993,멜로/로맨스,15세이상관람가,1,2015
122,상류사회,867,6313416163,768442,드라마,청소년관람불가,8,2018
123,불한당: 나쁜 놈들의 세상,860,7654331125,951797,범죄,청소년관람불가,5,2017
124,노무현입니다,775,14554935612,1854867,다큐멘터리,12세이상관람가,5,2017
125,집으로 가는 길,740,13048519745,1854625,드라마,15세이상관람가,12,2013
126,뺑반,1285,15222811848,1826714,범죄,15세이상관람가,1,2019
127,변신,975,15417922925,1804112,공포(호러),15세이상관람가,8,2019
128,강철비2: 정상회담,2138,14656434610,1790972,드라마,15세이상관람가,7,2020
129,공범,611,12333110882,1766285,스릴러,15세이상관람가,10,2013
130,대호,892,13489904632,1762742,사극,12세이상관람가,12,2015
131,강남 1970,841,17717971499,2192172,액션,청소년관람불가,1,2015
132,제보자,676,13371522302,1735640,드라마,12세이상관람가,10,2014
133,파파로티,552,11808286000,1713891,드라마,15세이상관람가,3,2013
134,쎄시봉,829,13509581911,1707487,멜로/로맨스,15세이상관람가,2,2015
135,피끓는 청춘,679,11688382888,1676040,코미디,15세이상관람가,1,2014
136,PMC: 더 벙커,1081,14024838424,1671548,액션,15세이상관람가,12,2018
137,임금님의 사건수첩,1054,12648793723,1634403,코미디,12세이상관람가,4,2017
138,걸캅스,973,13772604134,1625037,코미디,15세이상관람가,5,2019
139,우아한 거짓말,555,11694011300,1613392,드라마,12세이상관람가,3,2014
140,두근두근 내 인생,629,12191623034,1611519,드라마,12세이상관람가,9,2014
141,사자,1405,12917306145,1609737,미스터리,15세이상관람가,7,2019
142,창궐,1351,13275772490,1599290,사극,15세이상관람가,10,2018
143,더 폰,794,12309164568,1593694,스릴러,15세이상관람가,10,2015
144,성난황소,1010,13236490737,1593386,범죄,15세이상관람가,11,2018
145,도어락,954,12694612486,1545442,스릴러,15세이상관람가,12,2018
146,정직한 후보,1187,12765456530,1525718,코미디,12세이상관람가,2,2020
147,리틀 포레스트,884,11924818185,1505560,드라마,전체관람가,2,2018
148,내부자들: 디 오리지널,838,16973885275,2083999,범죄,청소년관람불가,12,2015
149,스윙키즈,984,12077312892,1470753,드라마,12세이상관람가,12,2018
150,부라더,889,11590908298,1468301,코미디,12세이상관람가,11,2017
151,악질경찰,833,2256615278,262233,범죄,청소년관람불가,3,2019
152,화이: 괴물을 삼킨 아이,817,17678676795,2391963,액션,청소년관람불가,10,2013
153,나의 특별한 형제,936,11835049574,1441813,드라마,12세이상관람가,5,2019
154,탐정 홍길동: 사라진 마을,764,11483686845,1426873,드라마,15세이상관람가,5,2016
155,런닝맨,567,10011200500,1416053,액션,15세이상관람가,4,2013
156,기억의 밤,751,10652346660,1387599,미스터리,15세이상관람가,11,2017
157,골든슬럼버,833,11412768798,1387508,범죄,15세이상관람가,2,2018
158,신의 한 수,794,28777712256,3562123,범죄,청소년관람불가,7,2014
159,특별시민,1154,10494768945,1362634,드라마,15세이상관람가,4,2017
160,궁합,966,10478875438,1340117,코미디,12세이상관람가,2,2018
161,미스터 고,840,9337990000,1328890,코미디,12세이상관람가,7,2013
162,사라진 밤,925,10686397316,1314274,스릴러,15세이상관람가,3,2018
163,장산범,711,10332117083,1305145,미스터리,15세이상관람가,8,2017
164,클로젯,1197,10920792280,1264970,미스터리,15세이상관람가,2,2020
165,유열의 음악앨범,1078,10233455040,1245532,멜로/로맨스,12세이상관람가,8,2019
166,오케이 마담,1288,10979902910,1228687,코미디,15세이상관람가,8,2020
167,특별수사: 사형수의 편지,691,9792082065,1225142,범죄,15세이상관람가,6,2016
168,찌라시: 위험한 소문,560,9111648087,1221420,범죄,15세이상관람가,2,2014
169,결혼전야,524,8431504719,1212270,멜로/로맨스,15세이상관람가,11,2013
170,해치지않아,1216,10154099090,1209689,코미디,12세이상관람가,1,2020
171,버닝,739,4714345098,528153,미스터리,청소년관람불가,5,2018
172,깡철이,707,8534777462,1204666,드라마,15세이상관람가,10,2013
173,시간이탈자,733,9729882195,1202058,스릴러,15세이상관람가,4,2016
174,해빙,915,9879737822,1201576,스릴러,15세이상관람가,3,2017
175,더 웹툰: 예고살인,541,8534322070,1201033,공포(호러),15세이상관람가,6,2013
176,생일,862,9786575840,1186283,드라마,전체관람가,4,2019
177,전설의 주먹,724,12732236500,1737253,드라마,청소년관람불가,4,2013
178,빅매치,627,8952096578,1177438,액션,15세이상관람가,11,2014
179,"힘을 내요, 미스터 리",990,9887863906,1176076,코미디,12세이상관람가,9,2019
180,동주,499,8864695589,1168427,드라마,12세이상관람가,2,2016
181,장수상회,688,8707389643,1160935,멜로/로맨스,12세이상관람가,4,2015
182,슬로우 비디오,618,8840530219,1159787,드라마,12세이상관람가,10,2014
183,미씽: 사라진 여자,790,8881616256,1153109,미스터리,15세이상관람가,11,2016
184,퍼펙트맨,894,9604139750,1144894,코미디,15세이상관람가,10,2019
185,장사리 : 잊혀진 영웅들,1090,8997921050,1140876,전쟁,12세이상관람가,9,2019
186,고령화 가족,583,8159482153,1139250,드라마,15세이상관람가,5,2013
187,하루,781,9068009842,1129018,스릴러,15세이상관람가,6,2017
188,챔피언,874,9441064230,1125319,드라마,12세이상관람가,5,2018
189,성난 변호사,607,8697174039,1124918,범죄,15세이상관람가,10,2015
190,"당신, 거기 있어줄래요",767,8999085248,1124815,판타지,12세이상관람가,12,2016
191,간신,697,8946842910,1110246,사극,청소년관람불가,5,2015
192,롱 리브 더 킹: 목포 영웅,965,9218262910,1092738,액션,15세이상관람가,6,2019
193,오빠생각,855,8058857287,1069436,드라마,12세이상관람가,1,2016
194,악녀,685,9730720144,1206917,액션,청소년관람불가,6,2017
195,그놈이다,681,8098811152,1046313,스릴러,15세이상관람가,10,2015
196,동창생,660,6983395126,1044522,액션,15세이상관람가,11,2013
197,염력,1099,7484644112,990104,드라마,15세이상관람가,1,2018
198,"날, 보러와요",683,8821335063,1061412,미스터리,청소년관람불가,4,2016
199,미쓰 와이프,437,7357162869,984265,코미디,15세이상관람가,8,2015
200,"고산자, 대동여지도",765,7777473258,971194,사극,전체관람가,9,2016
201,우리는 형제입니다,566,7263255399,970373,코미디,12세이상관람가,10,2014
202,전국노래자랑,581,6606589000,963634,코미디,12세이상관람가,5,2013
203,나랏말싸미,1211,7871240823,958775,사극,전체관람가,7,2019
204,허삼관,621,7405415569,955175,드라마,12세이상관람가,1,2015
205,인간중독,682,11284787400,1441964,멜로/로맨스,청소년관람불가,5,2014
206,뽀로로 극장판 슈퍼썰매 대모험,459,6819979500,929985,애니메이션,전체관람가,1,2013
207,더 킹,1310,7266896026,905885,범죄,15세이상관람가,1,2017
208,인랑,1085,6994748173,897548,SF,15세이상관람가,7,2018
209,결백,1112,7858105340,893856,드라마,15세이상관람가,6,2020
210,신비아파트 극장판 하늘도깨비 대 요르문간드,841,7046110380,893221,애니메이션,전체관람가,12,2019
211,극장판 헬로카봇 : 백악기 시대,758,6542619500,874967,애니메이션,전체관람가,8,2018
212,열한시,512,6097792000,870785,스릴러,15세이상관람가,11,2013
213,신세계,671,34881330905,4682492,범죄,청소년관람불가,2,2013
214,좋아해줘,637,6572774337,848148,멜로/로맨스,12세이상관람가,2,2016
215,대립군,809,6276963402,837500,드라마,15세이상관람가,5,2017
216,손님,634,6385295880,827918,판타지,15세이상관람가,7,2015
217,뽀로로 극장판 공룡섬 대모험,803,6203897300,824079,애니메이션,전체관람가,12,2017
218,남쪽으로 튀어,428,5907297500,821918,코미디,15세이상관람가,2,2013
219,레드슈즈,717,6102923190,817547,애니메이션,전체관람가,7,2019
220,카트,544,5809735433,799275,드라마,12세이상관람가,11,2014
221,상의원,466,6202433964,790158,사극,15세이상관람가,12,2014
222,살인의뢰,646,6986456737,855980,범죄,청소년관람불가,3,2015
223,미옥,635,1897705564,238587,범죄,청소년관람불가,11,2017
224,뽀로로 극장판 보물섬 대모험,736,5886268900,766758,애니메이션,전체관람가,4,2019
225,레슬러,957,6440492657,765963,드라마,15세이상관람가,5,2018
226,스플릿,702,6097721539,757430,드라마,15세이상관람가,11,2016
227,방황하는 칼날,594,7806377800,987420,범죄,청소년관람불가,4,2014
228,물괴,1183,6104164954,723414,액션,15세이상관람가,9,2018
229,미쓰백,638,6027243066,720558,드라마,15세이상관람가,10,2018
230,국가대표 2,562,5424324942,703024,드라마,12세이상관람가,8,2016
231,신비아파트: 금빛 도깨비와 비밀의 동굴,762,5001247250,678091,애니메이션,전체관람가,7,2018
232,열정같은소리하고있네,566,4761399902,654407,드라마,15세이상관람가,11,2015
233,그날의 분위기,592,5142899612,652453,멜로/로맨스,15세이상관람가,1,2016
234,아빠는 딸,520,5047634395,646412,코미디,12세이상관람가,4,2017
235,사냥,696,4912658515,645922,액션,15세이상관람가,6,2016
236,나를 찾아줘,875,5117014620,645082,스릴러,15세이상관람가,11,2019
237,광대들: 풍문조작단,806,5226776088,637021,사극,12세이상관람가,8,2019
238,관능의 법칙,591,5808789500,773996,드라마,청소년관람불가,2,2014
239,플랜맨,458,4528561558,632299,드라마,15세이상관람가,1,2014
240,조선마술사,608,4650016527,628576,드라마,12세이상관람가,12,2015
241,해무(海霧),584,11631310219,1466830,드라마,청소년관람불가,8,2014
242,특종: 량첸살인기,776,4754763118,616481,스릴러,15세이상관람가,10,2015
243,서부전선,509,4751661400,609063,전쟁,12세이상관람가,9,2015
244,미스터 주: 사라진 VIP,692,5057108660,601675,코미디,12세이상관람가,1,2020
245,연애의 온도,567,13798864446,1865195,멜로/로맨스,청소년관람불가,3,2013
246,패션왕,523,4338223379,591125,코미디,15세이상관람가,11,2014
247,극장판 헬로카봇 : 달나라를 구해줘!,889,4553434150,587818,애니메이션,전체관람가,9,2019
248,극장판 헬로카봇: 옴파로스 섬의 비밀,752,4485905140,575353,애니메이션,전체관람가,1,2019
249,양자물리학,799,4526478380,553879,범죄,15세이상관람가,9,2019
250,점박이 한반도의 공룡2 : 새로운 낙원,672,4293073300,550059,애니메이션,전체관람가,12,2018
251,차이나타운,551,11989400678,1472006,범죄,청소년관람불가,4,2015
252,침입자,1365,4806336000,531214,미스터리,15세이상관람가,6,2020
253,널 기다리며,551,5232611336,634953,스릴러,청소년관람불가,3,2016
254,7년의 밤,872,3969337524,528007,스릴러,15세이상관람가,3,2018
255,순수의 시대,546,3702353828,465492,사극,청소년관람불가,3,2015
256,가려진 시간,884,3946462400,510878,드라마,12세이상관람가,11,2016
257,남자사용설명서,372,3602049257,507257,코미디,15세이상관람가,2,2013
258,캐치미,517,3387483000,492773,코미디,12세이상관람가,12,2013
259,무서운 이야기 2,337,3375472500,492465,미스터리,15세이상관람가,6,2013
260,또 하나의 약속,192,3470184400,489409,드라마,12세이상관람가,2,2014
261,침묵,634,3873542364,487897,드라마,15세이상관람가,11,2017
262,해어화,572,3763852759,485083,사극,15세이상관람가,4,2016
263,계춘할망,526,3589317348,480987,가족,15세이상관람가,5,2016
264,소녀괴담,455,3546340054,480528,미스터리,15세이상관람가,7,2014
265,조선미녀삼총사,388,3471341321,480361,코미디,12세이상관람가,1,2014
266,넛잡: 땅콩 도둑들,382,3280608100,478392,애니메이션,전체관람가,1,2014
267,"로봇, 소리",609,3519595560,476665,드라마,12세이상관람가,1,2016
268,변산,763,3886052473,474137,드라마,15세이상관람가,7,2018
269,위험한 상견례 2,429,3575384754,472693,멜로/로맨스,15세이상관람가,4,2015
270,나를 기억해,545,1227953892,140849,미스터리,청소년관람불가,4,2018
271,마담 뺑덕,536,3685882590,465749,멜로/로맨스,청소년관람불가,10,2014
272,언니,530,1746373250,197134,액션,청소년관람불가,1,2019
273,동네사람들,731,3797676112,459020,액션,15세이상관람가,11,2018
274,노브레싱,584,2991824739,451669,드라마,15세이상관람가,10,2013
275,원더풀 고스트,351,3720931600,450374,코미디,12세이상관람가,9,2018
276,반드시 잡는다,565,3324033772,446379,스릴러,15세이상관람가,11,2017
277,뽀로로 극장판 컴퓨터 왕국 대모험,544,3290582700,445014,애니메이션,전체관람가,12,2015
278,감쪽같은 그녀,761,3377895790,436257,드라마,전체관람가,12,2019
279,원라인,613,3310122433,433825,범죄,15세이상관람가,3,2017
280,"협녀, 칼의 기억",572,3360045489,431310,사극,15세이상관람가,8,2015
281,몬스터,527,4136202515,526282,스릴러,청소년관람불가,3,2014
282,오피스,425,3354086230,428429,스릴러,15세이상관람가,9,2015
283,나를 잊지 말아요,559,3398915000,425799,멜로/로맨스,15세이상관람가,1,2016
284,흥부: 글로 세상을 바꾼 자,627,3381050200,416303,사극,12세이상관람가,2,2018
285,우는 남자,508,4883740800,599050,액션,청소년관람불가,6,2014
286,극장판 공룡메카드: 타이니소어의 섬,763,3140214420,410131,애니메이션,전체관람가,1,2019
287,넛잡 2,526,3038945100,407727,애니메이션,전체관람가,10,2017
288,비밀은 없다,502,2027801239,250650,스릴러,청소년관람불가,6,2016
289,내 심장을 쏴라,452,2856859132,387409,드라마,15세이상관람가,1,2015
290,나의 독재자,654,2906692546,385934,드라마,15세이상관람가,10,2014
291,보통사람,621,2956397623,383336,드라마,15세이상관람가,3,2017
292,소수의견,398,2891431205,383332,드라마,15세이상관람가,6,2015
293,대장 김창수,748,2871905115,380581,드라마,12세이상관람가,10,2017
294,경성학교: 사라진 소녀들,489,2749027700,356342,미스터리,15세이상관람가,6,2015
295,석조저택 살인사건,539,2815742886,351830,스릴러,15세이상관람가,5,2017
296,싱글라이더,576,2685519021,351276,드라마,15세이상관람가,2,2017
297,7호실,629,2677284639,347790,코미디,15세이상관람가,11,2017
298,치외법권,446,2664941005,346483,액션,15세이상관람가,8,2015
299,러브 유어셀프 인 서울,224,3209682900,342366,공연,전체관람가,1,2019
300,더 파이브,501,5343797000,731212,스릴러,청소년관람불가,11,2013
301,허스토리,696,2521025949,336822,드라마,12세이상관람가,6,2018
302,브링 더 소울 : 더 무비,569,2902500310,336074,기타,전체관람가,8,2019
303,미나문방구,385,2247017000,334323,드라마,전체관람가,5,2013
