,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1,Point
78,프리즌,1047,23790276987,2931.897,범죄,청소년관람불가,3,2017,3,10,7.8
79,공조,976,23918185757,2957.33,액션,15세이상관람가,1,2017,1,14,8.48
80,브이아이피,996,10956621835,1373.316,범죄,청소년관람불가,8,2017,3,10,6.56
81,가장 보통의 연애,1073,24822316930,2917.2130000000000,멜로/로맨스,15세이상관람가,10,2019,1,7,7.96
82,극비수사,894,22389535897,2860.7860000000000,드라마,15세이상관람가,6,2015,1,6,8.1
83,표적,665,22256359300,2841.788,액션,15세이상관람가,4,2014,1,14,7.8
84,너의 결혼식,962,23670604369,2820.0290000000000,멜로/로맨스,12세이상관람가,8,2018,0,7,8.68
85,말모이,1203,23682638520,2812.4440000000000,드라마,12세이상관람가,1,2019,0,6,9.05
86,곤지암,1124,21442114144,2675.559,공포(호러),15세이상관람가,3,2018,1,3,6.77
87,소원,641,18251983100,2663.17,드라마,12세이상관람가,10,2013,0,6,9.28
88,살인자의 기억법,1064,21361479492,2656.6940000000000,범죄,15세이상관람가,9,2017,1,10,7.87
89,탐정 : 더 비기닝,764,20463956973,2625.6860000000000,코미디,15세이상관람가,9,2015,1,17,8.61
90,지금 만나러 갑니다,1163,20800916128,2602.2730000000000,멜로/로맨스,12세이상관람가,3,2018,0,7,8.72
91,지푸라기라도 잡고 싶은 짐승들,996,5442138750,626.815,스릴러,청소년관람불가,2,2020,3,12,7.01
92,보안관,1091,20697532509,2571.491,범죄,15세이상관람가,5,2017,1,10,8.19
93,기술자들,641,19894297783,2564.34,범죄,15세이상관람가,12,2014,1,10,7.27
94,목격자,1021,21732042597,2524.0860000000000,스릴러,15세이상관람가,8,2018,1,12,5.61
95,증인,1047,20312348931,2516.1280000000000,드라마,12세이상관람가,2,2019,0,6,9.06
96,조작된 도시,1019,20119979587,2512.572,범죄,15세이상관람가,2,2017,1,10,8.11
97,블랙머니,1117,20747796510,2465.678,범죄,12세이상관람가,11,2019,0,10,8.52
98,조선명탐정: 흡혈괴마의 비밀,1249,19690818764,2424.33,사극,12세이상관람가,2,2018,0,11,7.0
99,재심,935,19263100637,2420.729,드라마,15세이상관람가,2,2017,1,6,8.54
100,히트맨,1122,20614278000,2406.232,코미디,15세이상관람가,1,2020,1,17,7.18
101,사바하,1174,20002183194,2397.792,미스터리,15세이상관람가,2,2019,1,9,7.28
102,바람 바람 바람,985,9702206675,1183.9590000000000,코미디,청소년관람불가,4,2018,3,17,6.6
103,박열,1176,18093543795,2359.174,드라마,12세이상관람가,6,2017,0,6,8.08
104,리얼,970,3357312530,470.105,액션,청소년관람불가,6,2017,3,14,4.48
105,악의 연대기,776,17360123332,2192.243,스릴러,15세이상관람가,5,2015,1,12,7.97
106,친구 2,968,21804687513,2971.475,액션,청소년관람불가,11,2013,3,14,6.22
107,신의 한 수: 귀수편,1246,18390955050,2146.764,범죄,15세이상관람가,11,2019,1,10,7.99
108,나의 사랑 나의 신부,629,16592056305,2135.614,멜로/로맨스,15세이상관람가,10,2014,1,7,8.15
109,굿바이 싱글,841,16912706195,2108.2730000000000,코미디,15세이상관람가,6,2016,1,17,8.22
110,몽타주,540,15000722500,2095.375,스릴러,15세이상관람가,5,2013,1,12,8.58
111,명당,1117,17900775524,2087.474,사극,12세이상관람가,9,2018,0,11,7.27
112,타짜-신의 손,890,32267244827,4001.813,드라마,청소년관람불가,9,2014,3,6,7.3
113,뷰티 인사이드,648,16152717131,2053.947,판타지,12세이상관람가,8,2015,0,18,7.61
114,봉이 김선달,942,16172133642,2044.5640000000000,사극,12세이상관람가,7,2016,0,11,7.95
115,천문: 하늘에 묻는다,1198,16502543020,2000.49,사극,12세이상관람가,12,2019,0,11,8.83
116,남자가 사랑할 때,531,14510222300,1979.3110000000000,멜로/로맨스,15세이상관람가,1,2014,1,7,8.71
117,협상,919,17032133166,1967.721,범죄,15세이상관람가,9,2018,1,10,7.86
118,#살아있다,1882,15965582900,1903.727,드라마,15세이상관람가,6,2020,1,6,4.14
119,내안의 그놈,1041,16293580567,1901.684,판타지,15세이상관람가,1,2019,1,18,8.54
120,오늘의 연애,709,14924654487,1891.993,멜로/로맨스,15세이상관람가,1,2015,1,7,6.82
121,상류사회,867,6313416163,768.442,드라마,청소년관람불가,8,2018,3,6,4.31
122,불한당: 나쁜 놈들의 세상,860,7654331125,951.797,범죄,청소년관람불가,5,2017,3,10,5.87
123,노무현입니다,775,14554935612,1854.8670000000000,다큐멘터리,12세이상관람가,5,2017,0,5,8.96
124,집으로 가는 길,740,13048519745,1854.625,드라마,15세이상관람가,12,2013,1,6,8.74
125,뺑반,1285,15222811848,1826.714,범죄,15세이상관람가,1,2019,1,10,6.57
126,변신,975,15417922925,1804.112,공포(호러),15세이상관람가,8,2019,1,3,7.1
127,강철비2: 정상회담,2138,14656434610,1790.9720000000000,드라마,15세이상관람가,7,2020,1,6,5.04
128,공범,611,12333110882,1766.285,스릴러,15세이상관람가,10,2013,1,12,7.5
129,대호,892,13489904632,1762.7420000000000,사극,12세이상관람가,12,2015,0,11,8.07
130,강남 1970,841,17717971499,2192.172,액션,청소년관람불가,1,2015,3,14,7.29
131,제보자,676,13371522302,1735.64,드라마,12세이상관람가,10,2014,0,6,8.47
